CH-Gefahrensymbol-Rechtskurve.svg|1.01 Virage à droite
CH-Gefahrensignal-Linkskurve.svg|1.02 Virage à gauche
CH-Gefahrensignal-Doppelkurve-rechts.svg|1.03 Double virage, le premier à droite
CH-Gefahrensignal-Doppelkurve-links.svg|1.04 Double virage, le premier à gauche
CH-Gefahrensignal-Schleudergefahr.svg|1.05 Chaussée glissante
CH-Gefahrensignal-Unebene Fahrbahn.svg|1.06 Cassis
CH-Gefahrensignal-Engpass.svg|1.07 Chaussée rétrécie
CH-Gefahrensignal-Verengung-rechts.svg|1.08 Chaussée rétrécie à droite
CH-Gefahrensignal-Verengung-links.svg|1.09 Chaussée rétrécie à gauche
CH-Gefahrensignal-Gefaehrliches Gefaelle.svg|1.10 Descente dangereuse
CH-Gefahrensignal-Starke Steigung.svg|1.11 Forte montée
CH-Gefahrensignal-Rollsplitt.svg|1.12 Gravillon
CH-Gefahrensignal-Steinschlag (1).svg|1.13 Chute de pierres
CH-Gefahrensignal-Baustelle.svg|1.14 Travaux
CH-Gefahrensignal-Schranken.svg|1.15 Barrières
CH-Gefahrensignal-Bahnuebergang ohne Schranken.svg|1.16 [[Passage à niveau]] sans barrières
CH-Gefahrensignale-Distanzbaken.svg|1.17 Panneaux indicateurs de distance
CH-Gefahrensignal-Strassenbahn.svg|1.18 Tramway ou chemin de fer routier
CH-Gefahrensignal-Fussgaengerstreifen.svg|1.22 Passage pour piétons
CH-Gefahrensignal-Kinder.svg|1.23 Enfants
CH-Gefahrensignal-Wildwechsel.svg|1.24 Passage de [[gibier]]
CH-Gefahrensignal-Tiere.svg|1.25 [[Animal|Animaux]]
CH-Gefahrensignal-Tiere (2).svg|1.25a [[Animal|Animaux]] (variante)
CH-Gefahrensignal-Gegenverkehr.svg|1.26 Circulation en sens inverse
CH-Gefahrensignal-Lichtsignale.svg|1.27 Signaux lumineux
CH-Gefahrensignal-Flugzeuge.svg|1.28 Avions
CH-Gefahrensignal-Seitenwind.svg|1.29 [[Vent]] latéral
CH-Gefahrensignal-andere Gefahren.svg|1.30 Autres [[Danger|dangers]]
CH-Gefahrensignal-Stau.svg|1.31 [[Embouteillage_(route)|Bouchon]]
CH-Gefahrensignal-Radfahrer.svg|1.32 [[Cyclisme|Cyclistes]]
CH-Vorschriftssignal-Allgemeines Fahrverbot.svg|2.01 Interdiction générale de circuler dans les deux sens
CH-Vorschriftssignal-Einfahrt verboten.svg|2.02 Accès interdit
CH-Vorschriftssymbol-Verbot für Motorwagen.svg|2.03 Circulation interdite aux voitures automobiles
CH-Vorschriftssignal-Verbot für Motorräder .svg|2.04 Circulation interdite aux motocycles
CH-Vorschriftssignal-Verbot für Fahrräder und Motorfahrräder.svg|2.05 Circulation interdite aux cycles et cyclomoteurs
CH-Vorschriftssignal-Verbot für Motorfahrräder.svg|2.06 Circulation interdite aux cyclomoteurs
CH-Vorschriftssignal-Verbot für Lastwagen.svg|2.07 Circulation interdite aux camions
CH-Vorschriftssignal-Verbot für Gesellschaftswagen.svg|2.08 Circulation interdite aux autocars
CH-Vorschriftssignal-Verbot für Anhänger.svg|2.09 Circulation interdite aux remorques
CH-Vorschriftssignal.Verbot für Anhänger mit Ausnahme von Sattel- und Einachsanhänger.svg|2.09.1 Circulation interdite aux remorques autres que les semi-remorques et les remorques à essieu central
